state_canonical,state_code,fy,population,transactions_total_5rail,per_capita_5rail,per_capita_nsdp,literacy,share_urban,pmjdy_per_adult,bank_offices_per_100k
Lakshadweep,LD,2019-20,68000,491931,7.234279411764706,NA,95,0.9421001814713136,0.10121165966386554,22.058823529411764
Lakshadweep,LD,2020-21,68000,612988,9.014529411764705,NA,96.3,0.961092217353183,0.11220763305322129,33.8235294117647
Madhya Pradesh,MP,2019-20,83184000,503343999,6.050971328620888,60452,76.4,0.2863337436808524,0.5071590293481993,8.940421234852856
Madhya Pradesh,MP,2020-21,84307500,882959681,10.473085799009578,56037,75.7,0.28750994378488937,0.5502124899657967,8.942264923049551
Maharashtra,MH,2019-20,123104500,2379792821,19.331485209720196,145626,84,0.4764755058168714,0.26580565741937995,11.494299558505173
Maharashtra,MH,2020-21,124219000,4037787225,32.505391486004555,127550,84.7,0.4793287407403016,0.3001868510034957,11.416127967541197
Manipur,MN,2019-20,3126500,10379267,3.3197719494642572,49267,88.9,0.31580305069116443,0.4034453903554476,7.100591715976331
Manipur,MN,2020-21,3157000,24856871,7.873573329109915,44449,90.1,0.318592610003402,0.4383716122107223,7.3487488121634454
Meghalaya,ML,2019-20,3248000,6882421,2.118971982758621,67229,92.7,0.20526409862741574,0.20451082229038364,11.761083743842365
Meghalaya,ML,2020-21,3279500,16243826,4.95314102759567,60522,95.3,0.20580123469674608,0.25934137848137623,11.922549169080654
Mizoram,MZ,2019-20,1201000,3981097,3.3148184845961697,130741,99.8,0.542564364473906,0.34682689143445383,17.985012489592005
Mizoram,MZ,2020-21,1213000,10932068,9.012422093981863,116229,98.8,0.5450877660086659,0.3561366024787918,18.549051937345425
Nagaland,NL,2019-20,2166000,7049580,3.254653739612188,73361,96.2,0.41260076185395433,0.20404248789444057,9.002770083102492
Nagaland,NL,2020-21,2187500,16972407,7.758814628571429,68272,96.9,0.4271908514642086,0.22403796478427296,9.188571428571429
Odisha,OR,2019-20,43822500,356827818,8.142571008043813,76439,75.7,0.18252520000156086,0.43355022643668367,12.256261053111984
Odisha,OR,2020-21,43994500,583753268,13.268778324563298,73325,77.2,0.18436861881125555,0.4968371926023124,12.57884508290809
Puducherry,PY,2019-20,1532000,19351521,12.631541122715404,153411,91.5,0.697068918141156,0.12479486686085411,18.01566579634465
Puducherry,PY,2020-21,1566500,34301033,21.89660580912863,136327,90.6,0.6986862723770183,0.12835397239201235,17.74656878391318
Punjab,PB,2019-20,30059000,203699211,6.776646295618617,118487,80.4,0.40660827134247296,0.2935235234199413,22.855051731594532
Punjab,PB,2020-21,30291500,360041528,11.885893006288892,113025,82.6,0.4103464224213541,0.3088578560333209,22.630110757143093
Rajasthan,RJ,2019-20,78105000,613696426,7.8573257281864155,76840,71.5,0.26151282998774344,0.45616272112008116,10.188848345176364
Rajasthan,RJ,2020-21,79090500,1176996594,14.881643105050543,73447,73,0.26302006948752793,0.4991900045495031,10.278099139593252
Sikkim,SK,2019-20,668500,5471379,8.18456095736724,248691,86.1,0.42637246151849506,0.16797959140179972,24.68212415856395
Sikkim,SK,2020-21,675000,10958593,16.23495259259259,237212,88,0.4469422462682102,0.15448572893110205,24.74074074074074
Tamil Nadu,TN,2019-20,75990000,1029529521,13.548223726806158,144845,83.6,0.5225866121163384,0.17104828018154267,16.074483484669035
Tamil Nadu,TN,2020-21,76323000,1724506315,22.59484447676323,143482,84.7,0.5271290223810695,0.18032546016656348,16.259843035520092
Telangana,TG,2019-20,37409500,1382781430,36.96337641508173,153286,70.5,0.45213710560613685,0.3334561185506837,15.006883278311658
Telangana,TG,2020-21,37653500,2130135712,56.57205072569615,140743,73.9,0.459838417620656,0.3443803801291855,15.472665223684384
Tripura,TR,2019-20,4022000,14358668,3.570031824962705,83985,92,0.35688503039152253,0.26541840428742414,14.594728990551966
Tripura,TR,2020-21,4061500,26635594,6.558068201403422,79123,91.4,0.36808362403232897,0.27018208254031817,14.723624276745046
Uttar Pradesh,UP,2019-20,227449000,2456255620,10.799148908106872,44265,73.5,0.23559422804802052,0.3628480591512089,8.104674014834094
Uttar Pradesh,UP,2020-21,230317500,3254414352,14.130121905630272,40959,73.9,0.23711304799174598,0.43113525467461367,8.088399709097224
Uttarakhand,UK,2019-20,11248500,120479287,10.710698048628705,150820,81.2,0.3438407476449177,0.2981159590926487,19.913766279948437
Uttarakhand,UK,2020-21,11376000,224130092,19.702012306610406,127788,82.8,0.3487249559201041,0.3168491469145936,20.086146272855135
West Bengal,WB,2019-20,97414000,523000843,5.368846808466955,69548,81.2,0.35460088625062103,0.4508243174456711,9.692651980208183
West Bengal,WB,2020-21,98002000,841857285,8.590205148874512,62852,82.5,0.3588202611627488,0.5089439464050032,9.798779616742516
