state_canonical,fy,year,transactions_count,population,per_capita_dp,phc_count,area_total_km2,phc_per_sqkm,literacy_rate,per_capita_nsdp,share_urban,population_density
Maharashtra,2020-21,2020,4037787225,123676000,32.64810654451955,2490,307713,0.008091955815971375,84.7,127970,0.4779021232785865,405
Manipur,2020-21,2020,24856871,3142000,7.911161998726926,95,22327,0.004254937967483316,90.1,44449,0.3171978303472832,142
Meghalaya,2020-21,2020,16243826,3264000,4.976662377450981,145,22429,0.006464844620803424,95.3,60522,0.2055326666620809,147
Mizoram,2020-21,2020,10932068,1207000,9.057222866611433,68,21081,0.0032256534320003797,98.8,116229,0.543826065241286,58
Nagaland,2020-21,2020,16972407,2177000,7.796236564079008,138,16579,0.008323783099101272,96.9,68272,0.41989580665908144,133
Odisha,2020-21,2020,583753268,43913000,13.293404413271697,1379,155707,0.008856377683726485,77.2,73357,0.1834469094064082,294
Puducherry,2020-21,2020,34301033,1549000,22.14398515171078,39,490,0.07959183673469387,90.6,135586,0.6978775952590872,3233
Punjab,2020-21,2020,360041528,30179000,11.930200735610855,522,50362,0.010364957706207061,82.6,113025,0.4084773468819135,604
Rajasthan,2020-21,2020,1176996594,78609000,14.972796931649048,2394,342239,0.0069951116032947736,73,73140,0.2622664497376357,233
Sikkim,2020-21,2020,10958593,672000,16.30743005952381,26,7096,0.0036640360766629085,88,237212,0.4366573538933527,96
Tamil Nadu,2020-21,2020,1724506315,76167000,22.641121679992647,1886,130060,0.014500999538674458,84.7,143482,0.524857817248704,588
Telangana,2020-21,2020,2130135712,37536000,56.74913981244672,863,98684,0.008745085322848688,73.9,140703,0.45598776161339644,383
Tripura,2020-21,2020,26635594,4042000,6.589706580900544,116,10486,0.011062368872782759,91.4,79123,0.36248432721192575,389
Uttar Pradesh,2020-21,2020,3254414352,228931000,14.215699717382094,3516,240928,0.014593571523442688,73.9,39735,0.23635363801988327,962
Uttarakhand,2020-21,2020,224130092,11313000,19.81172916114205,287,53483,0.0053661911261522355,82.8,137987,0.3462828517825109,214
West Bengal,2020-21,2020,841857285,97719000,8.615082890737728,1369,88752,0.015425004506940688,82.5,63562,0.3567105737066849,1107
