state_canonical,state_code,year_window,population,upi_volume_avg_million,upi_value_avg_crore,per_capita_upi,per_capita_nsdp,literacy,internet_density,share_urban,pmjdy_per_adult,bank_offices_per_100k
Punjab,PB,2024-25,31090000,187.8225,31721.773333333334,6.04125120617562,136667,83.4,87.31,0.4252990267368786,0.3899099190579204,22.968800257317465
Punjab,PB,2025-26r,31279000,211.85833333333332,36127.012500000004,6.773181154555239,136667,83.4,87.31,0.42903717781575973,0.3971199553036915,23.07298826688833
Rajasthan,RJ,2023-24,81752000,452.3016666666667,71899.48166666667,5.532606745604593,90414,75.8,64.02,0.26754178798688133,0.5797304263137093,10.867012427830513
Rajasthan,RJ,2024-25,82624000,602.995,90650.83083333334,7.298061096049574,96638,75.8,62.82,0.2690490274866658,0.600467257789393,11.028272656855151
Rajasthan,RJ,2025-26r,83469500,562.81,83780.96833333334,6.742702424238794,96638,75.8,62.82,0.2705562669864503,0.6146783214355889,11.121427587322314
Sikkim,SK,2023-24,694000,4.1866666666666665,726.0325,6.032660902977906,292339,84.7,85.79,0.5086516005173558,0.15517817188618083,25.936599423631122
Sikkim,SK,2024-25,700000,6.4191666666666665,953.2975,9.170238095238096,292339,84.7,91.25,0.529221385267071,0.16194380887768947,26.857142857142858
Sikkim,SK,2025-26r,706000,8.3175,1114.7341666666666,11.781161473087819,292339,84.7,91.25,0.5497911700167861,0.1828918938657216,27.3371104815864
Tamil Nadu,TN,2023-24,77050500,521.2983333333333,85907.32833333334,6.765670999322955,178496,85.5,79.41,0.5407562531752628,0.24993775510508778,17.243236578607537
Tamil Nadu,TN,2024-25,77279500,692.9591666666666,107468.16416666667,8.966920938498136,197747,85.5,82.09,0.5452986634399939,0.2714591668904434,17.7407980124095
Tamil Nadu,TN,2025-26r,77488000,790.6991666666667,120080.62833333333,10.20414988987542,197747,85.5,82.09,0.549841073704725,0.2938874015541766,17.988591781953332
Telangana,TG,2023-24,38226000,745.23,128049.135,19.495369643698005,179105,76.9,92.96,0.4829423536642136,0.39348565874463304,16.541097682205827
Telangana,TG,2024-25,38408000,882.6466666666666,140273.01916666667,22.980802610567242,192128,76.9,94.07,0.4906436656787328,0.4137778882001424,17.12143303478442
Telangana,TG,2025-26r,38582000,849.8183333333334,134098.10416666666,22.026290325367615,192128,76.9,94.07,0.498344977693252,0.43765485885272004,17.401897257788605
Tripura,TR,2023-24,4175000,7.701666666666666,1295.8291666666667,1.8447105788423155,98606,93.7,52.08,0.4016794049547483,0.295739413784613,15.64071856287425
Tripura,TR,2024-25,4213000,11.5,1697.8625,2.729646332779492,106126,93.7,51.91,0.4128779985955548,0.31773762389088817,15.76074056491811
Tripura,TR,2025-26r,4250000,14.5775,1973.5516666666667,3.4299999999999997,106126,93.7,51.91,0.42407659223636124,0.32581741722452506,15.788235294117648
Uttar Pradesh,UP,2023-24,237679500,731.725,107069.35666666667,3.078620579393679,51898,78.2,54.36,0.2416695078229224,0.542290498271072,8.207270715396154
Uttar Pradesh,UP,2024-25,240070000,1002.1375,136182.3125,4.174355396342733,55990,78.2,54.49,0.2431883277666479,0.5683930121425065,8.356312742116883
Uttar Pradesh,UP,2025-26r,242365500,1096.2891666666667,145292.96083333335,4.5232888619323575,55990,78.2,54.49,0.24470714771037336,0.5883081796905896,8.402598554662276
Uttarakhand,UK,2023-24,11735500,85.2575,11678.913333333334,7.2649226705295895,150931,83.8,83.67,0.3633775807456636,0.40334627097253767,20.12696519108687
Uttarakhand,UK,2024-25,11854000,105.55166666666666,13531.104166666666,8.904307969180586,158819,83.8,82.97,0.36826178902085005,0.42686103150496424,20.59220516281424
Uttarakhand,UK,2025-26r,11970500,115.08,14493.391666666666,9.61363351572616,158819,83.8,82.97,0.3731459972960366,0.44273161647308606,20.717597427008062
West Bengal,WB,2023-24,99483000,303.3183333333333,53095.63333333333,3.0489463861497272,77933,82.6,63.44,0.37147838589913185,0.6318744928765588,10.290200335735754
West Bengal,WB,2024-25,99962500,433.0275,68927.69916666667,4.331899462298361,82781,82.6,63.69,0.3756977608112596,0.6659580860946924,10.44991871951982
West Bengal,WB,2025-26r,100416500,457.2125,68193.37666666666,4.553161084084787,82781,82.6,63.69,0.37991713572338726,0.6812809865688563,10.535121220118208
