state_canonical,state_code,fy,literacy_rate_person_7plus
Uttar Pradesh,UP,2023-24,78.2
Uttarakhand,UK,2023-24,83.8
West Bengal,WB,2023-24,82.6
Andaman and Nicobar Islands,AN,2025,87.6
Andhra Pradesh,AP,2025,71.4
Arunachal Pradesh,AR,2025,86.4
Assam,AS,2025,88.1
Bihar,BR,2025,73.1
Chandigarh,CH,2025,91.1
Chhattisgarh,CG,2025,81.1
Dadra and Nagar Haveli and Daman and Diu,DN,2025,86.8
Delhi,DL,2025,89
Goa,GA,2025,92.9
Gujarat,GJ,2025,84.5
Haryana,HR,2025,83.9
Himachal Pradesh,HP,2025,89.8
Jammu and Kashmir,JK,2025,79.4
Jharkhand,JH,2025,79.5
Karnataka,KA,2025,83.9
Kerala,KL,2025,95.6
Ladakh,LA,2025,80.6
Lakshadweep,LD,2025,93.8
Madhya Pradesh,MP,2025,77.4
Maharashtra,MH,2025,88
Manipur,MN,2025,92.3
Meghalaya,ML,2025,93
Mizoram,MZ,2025,99.8
Nagaland,NL,2025,94.5
Odisha,OR,2025,80.6
Puducherry,PY,2025,94.7
Punjab,PB,2025,82.2
Rajasthan,RJ,2025,74
Sikkim,SK,2025,88.6
Tamil Nadu,TN,2025,87.2
Telangana,TG,2025,74.6
Tripura,TR,2025,89.3
Uttar Pradesh,UP,2025,77.2
Uttarakhand,UK,2025,84.6
West Bengal,WB,2025,84.6
