state_canonical,state_code,year,population
Jammu and Kashmir,JK,2032,14464000
Jharkhand,JH,2032,43728000
Karnataka,KA,2032,70997000
Kerala,KL,2032,36762000
Ladakh,LA,2032,313000
Lakshadweep,LD,2032,71000
Madhya Pradesh,MP,2032,95056000
Maharashtra,MH,2032,134334000
Manipur,MN,2032,3470000
Meghalaya,ML,2032,3605000
Mizoram,MZ,2032,1333000
Nagaland,NL,2032,2404000
Odisha,OR,2032,45013000
Puducherry,PY,2032,2020000
Punjab,PB,2032,32239000
Rajasthan,RJ,2032,88095000
Sikkim,SK,2032,742000
Tamil Nadu,TN,2032,78078000
Telangana,TG,2032,39272000
Tripura,TR,2032,4464000
Uttar Pradesh,UP,2032,253837000
Uttarakhand,UK,2032,12644000
West Bengal,WB,2032,102371000
Andaman and Nicobar Islands,AN,2033,412000
Andhra Pradesh,AP,2033,54211000
Arunachal Pradesh,AR,2033,1691000
Assam,AS,2033,38758000
Bihar,BR,2033,144557000
Chandigarh,CH,2033,1337000
Chhattisgarh,CG,2033,33355000
Dadra and Nagar Haveli and Daman and Diu,DN,2033,2948000
