state_canonical,state_code,fy,per_capita_nsdp_constant_inr
Haryana,HR,2021-22,166873
Himachal Pradesh,HP,2021-22,137010
Jammu and Kashmir,JK,2021-22,66029
Jharkhand,JH,2021-22,57172
Karnataka,KA,2021-22,165517
Kerala,KL,2021-22,147376
Madhya Pradesh,MP,2021-22,61011
Maharashtra,MH,2021-22,141651
Manipur,MN,2021-22,54587
Meghalaya,ML,2021-22,65313
Mizoram,MZ,2021-22,123907
Nagaland,NL,2021-22,69531
Odisha,OR,2021-22,85516
Puducherry,PY,2021-22,135684
Punjab,PB,2021-22,118307
Rajasthan,RJ,2021-22,79490
Sikkim,SK,2021-22,255016
Tamil Nadu,TN,2021-22,154269
Telangana,TG,2021-22,156455
Tripura,TR,2021-22,85378
Uttar Pradesh,UP,2021-22,45294
Uttarakhand,UK,2021-22,131794
West Bengal,WB,2021-22,70100
Andaman and Nicobar Islands,AN,2022-23,170292
Andhra Pradesh,AP,2022-23,123853
Arunachal Pradesh,AR,2022-23,106512
Assam,AS,2022-23,71551
Bihar,BR,2022-23,30678
Chandigarh,CH,2022-23,253004
Chhattisgarh,CG,2022-23,82699
Delhi,DL,2022-23,252768
Goa,GA,2022-23,333709
Gujarat,GJ,2022-23,181963
Haryana,HR,2022-23,171661
Himachal Pradesh,HP,2022-23,144824
Jammu and Kashmir,JK,2022-23,69627
Jharkhand,JH,2022-23,60642
Karnataka,KA,2022-23,182371
Kerala,KL,2022-23,155299
Madhya Pradesh,MP,2022-23,63681
Maharashtra,MH,2022-23,154979
Manipur,MN,2022-23,57232
Meghalaya,ML,2022-23,71217
Mizoram,MZ,2022-23,137682
Nagaland,NL,2022-23,69884
Odisha,OR,2022-23,84213
Puducherry,PY,2022-23,135528
Punjab,PB,2022-23,125197
Rajasthan,RJ,2022-23,84585
Sikkim,SK,2022-23,273145
Tamil Nadu,TN,2022-23,163205
Telangana,TG,2022-23,167263
Tripura,TR,2022-23,91373
Uttar Pradesh,UP,2022-23,48014
Uttarakhand,UK,2022-23,141511
West Bengal,WB,2022-23,73793
Andaman and Nicobar Islands,AN,2023-24,178431
Andhra Pradesh,AP,2023-24,131083
Arunachal Pradesh,AR,2023-24,110766
Assam,AS,2023-24,80089
Bihar,BR,2023-24,33966
Chandigarh,CH,2023-24,275139
Chhattisgarh,CG,2023-24,87681
Delhi,DL,2023-24,271490
Goa,GA,2023-24,357611
Gujarat,GJ,2023-24,NA
Haryana,HR,2023-24,182816
Himachal Pradesh,HP,2023-24,153887
Jammu and Kashmir,JK,2023-24,75955
Jharkhand,JH,2023-24,64347
Karnataka,KA,2023-24,191970
Kerala,KL,2023-24,165587
Madhya Pradesh,MP,2023-24,67301
Maharashtra,MH,2023-24,166013
Manipur,MN,2023-24,61059
Meghalaya,ML,2023-24,78387
Mizoram,MZ,2023-24,151676
Nagaland,NL,2023-24,77568
Odisha,OR,2023-24,89705
Puducherry,PY,2023-24,143470
Punjab,PB,2023-24,130758
Rajasthan,RJ,2023-24,90414
Sikkim,SK,2023-24,292339
Tamil Nadu,TN,2023-24,178496
Telangana,TG,2023-24,179105
Tripura,TR,2023-24,98606
Uttar Pradesh,UP,2023-24,51898
Uttarakhand,UK,2023-24,150931
West Bengal,WB,2023-24,77933
Andaman and Nicobar Islands,AN,2024-25,NA
Andhra Pradesh,AP,2024-25,141609
Arunachal Pradesh,AR,2024-25,120943
Assam,AS,2024-25,85988
Bihar,BR,2024-25,36342
Chandigarh,CH,2024-25,NA
Chhattisgarh,CG,2024-25,93161
Delhi,DL,2024-25,283093
Goa,GA,2024-25,NA
Gujarat,GJ,2024-25,NA
Haryana,HR,2024-25,194285
Himachal Pradesh,HP,2024-25,162275
Jammu and Kashmir,JK,2024-25,81554
Jharkhand,JH,2024-25,68357
Karnataka,KA,2024-25,204605
Kerala,KL,2024-25,173818
Madhya Pradesh,MP,2024-25,70434
Maharashtra,MH,2024-25,176678
Manipur,MN,2024-25,NA
Meghalaya,ML,2024-25,84578
Mizoram,MZ,2024-25,NA
Nagaland,NL,2024-25,NA
Odisha,OR,2024-25,96224
Puducherry,PY,2024-25,154213
Punjab,PB,2024-25,136667
Rajasthan,RJ,2024-25,96638
Sikkim,SK,2024-25,NA
Tamil Nadu,TN,2024-25,197747
Telangana,TG,2024-25,192128
Tripura,TR,2024-25,106126
Uttar Pradesh,UP,2024-25,55990
Uttarakhand,UK,2024-25,158819
West Bengal,WB,2024-25,82781
